GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote,RentalReservationClientRemoteApi,66,22,0,0,14,5,9,3,9,3
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.rest,ClientExceptionMapper.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.rest,ClientExceptionMapper,50,46,4,4,9,13,5,6,2,5
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.dto,AddRentalItemRequestDto,0,17,0,0,0,6,0,3,0,3
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.dto,AddReservationRequestDto,38,0,0,0,12,0,6,0,6,0
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.dto,AddUserAccountRequestDto,45,0,0,0,14,0,7,0,7,0
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.auth,JwtConsumeEventNotifyDelegator,8,0,0,0,3,0,2,0,2,0
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.auth,JwtConsumeResponseFilter,20,9,1,1,3,3,1,2,0,2
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.auth,SecurityConstraintClientException,4,17,2,1,2,6,2,3,0,3
rms-client-api-remote,com.mamezou.rms.client.api.adaptor.remote.auth,JwtClientHeadersFactory,25,12,1,1,6,4,2,3,1,3
