GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local.dto,UserAccountDtoConverter,75,0,0,0,19,0,3,0,3,0
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local.dto,ReservationDtoConverter,111,0,8,0,33,0,7,0,3,0
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local.dto,RentalItemDtoConverter,39,0,0,0,11,0,3,0,3,0
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local.dto,DtoConverter,4,0,0,0,1,0,1,0,1,0
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local,LocalExceptionInterceptor,18,0,0,0,9,0,2,0,2,0
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local,LocalExceptionHandler,29,0,4,0,7,0,5,0,3,0
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local,BindLoginUserInterceptor,44,0,4,0,12,0,6,0,4,0
rms-client-api-local,com.mamezou.rms.client.api.adaptor.local,RentalReservationClientLocalApi,117,0,0,0,25,0,12,0,12,0
