GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-service-server,com.mamezou.rms.external.webapi.dto,ReservationResourceDto,76,35,2,0,21,2,11,9,10,9
rms-service-server,com.mamezou.rms.external.webapi.dto,AddReservationDto,12,38,0,0,1,7,1,11,1,11
rms-service-server,com.mamezou.rms.external.webapi.dto,RentalItemResourceDto,35,15,2,0,11,2,6,4,5,4
rms-service-server,com.mamezou.rms.external.webapi.dto,UserAccountResourceDto,59,54,2,0,13,11,4,15,3,15
rms-service-server,com.mamezou.rms.external.webapi.dto,AddRentalItemDto,6,17,0,0,1,4,1,5,1,5
rms-service-server,com.mamezou.rms.external.webapi.dto,LoginDto,32,0,0,0,5,0,7,0,7,0
rms-service-server,com.mamezou.rms.external.webapi.dto,AddUserAccountDto,14,45,0,0,1,8,1,13,1,13
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers.BusinessFlowExceptionMapper,47,3,4,0,15,1,4,1,1,1
rms-service-server,com.mamezou.rms.external.webapi.mapper,ValidationErrorInfo.ValidationErrorItem,26,0,0,0,5,0,6,0,6,0
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMapperFeature,0,25,0,0,0,7,0,2,0,2
rms-service-server,com.mamezou.rms.external.webapi.mapper,ValidationErrorInfo,18,0,0,0,6,0,4,0,4,0
rms-service-server,com.mamezou.rms.external.webapi.mapper,GenericErrorInfo,26,0,0,0,12,0,6,0,6,0
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers,7,0,0,0,2,0,2,0,2,0
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers.RmsSystemExceptionMapper,24,3,0,0,7,1,1,1,1,1
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers.ConstraintExceptionMapper,45,3,0,0,12,1,2,1,2,1
rms-service-server,com.mamezou.rms.external.webapi.jwt,UserDtoClaimsFactory,9,3,0,0,2,1,2,1,2,1
rms-service-server,com.mamezou.rms.external.webapi.jwt,LoginUserRequestFilter,7,27,1,1,1,11,1,4,0,4
rms-service-server,com.mamezou.rms.external.webapi.jwt,UserClaimsAdaptor,21,0,0,0,6,0,4,0,4,0
rms-service-server,com.mamezou.rms.external.webapi.jwt,UserClaimsFactoryProducers,0,7,0,0,0,2,0,2,0,2
rms-service-server,com.mamezou.rms.external.webapi,ApplicationConfig,0,18,0,0,0,4,0,3,0,3
rms-service-server,com.mamezou.rms.external.webapi,RentalReservationResource,109,6,0,0,30,3,12,1,12,1
rms-service-server,com.mamezou.rms.external.webapi,ManagementResource,47,0,2,0,16,0,5,0,4,0
rms-service-server,com.mamezou.rms.external.webapi,WebApiMain,38,0,0,0,18,0,4,0,4,0
